auction_date,auction_city,auction_region,auction_item,starting_price,target_price,item_ts
14.01.2026,Leszno,wielkopolskie,"motocykl BMW K 100 RT, nr rej. PL283M, VIN 0097136K100RT, rok produkcji 1988",3000.0,4000.0,2025-12-22 22:05:12
14.01.2026,Oborniki,wielkopolskie,PEUGEOT 307,1875.0,2500.0,2025-12-22 22:05:13
14.01.2026,Częstochowa,śląskie,"samochód osobowy BMW 320D 2.0 diesel, rok prod. 2008",11250.0,15000.0,2025-12-22 22:05:14
14.01.2026,Łódź,łódzkie,Fiat Punto,375.0,500.0,2025-12-22 22:05:15
15.01.2026,Bolesławiec,dolnośląskie,Samochody osobowe,38100.0,50800.0,2025-12-22 22:05:16
15.01.2026,Ruda Śląska,śląskie,OPEL ZAFIRA,5000.0,10000.0,2025-12-22 22:05:16
15.01.2026,Strzebielino Osiedle,pomorskie,TOYOTA COROLLA I rej. 26.01.2007 przebieg. ok. 450 tys.,6000.0,8000.0,2025-12-22 22:05:17
15.01.2026,Strzebielino Osiedle,pomorskie,AUDI A6 przebieg ok. 350 tys. km,9750.0,13000.0,2025-12-22 22:05:17
15.01.2026,Rymanów,podkarpackie,PEUGEOT 3008 nr rej. RZ8113X; VIN VF30URHE89S251797; Data pierwszej rejestracji 2009-12-29,11250.0,15000.0,2025-12-22 22:05:18
15.01.2026,Morownica,wielkopolskie,SEAT ALHAMBRA,5250.0,7000.0,2025-12-22 22:05:18
15.01.2026,Namysłów,opolskie,"RENAULT MASTER ciężarowy, poj. silnika 2463 cm",7500.0,10000.0,2025-12-22 22:05:19
15.01.2026,Namysłów,opolskie,"RENAULT LAGUNA hatchback 2,0",3000.0,4000.0,2025-12-22 22:05:19
15.01.2026,Namysłów,opolskie,CITROEN C5 kombi,750.0,1000.0,2025-12-22 22:05:19
15.01.2026,Żyrardów,mazowieckie,"BMW 430 I Coupe model 430 nr rej. WZY39091, VIN WBA4U7C33H5H20248,  rok produkcji 2017",44325.0,59100.0,2025-12-22 22:05:20
15.01.2026,Namysłów,opolskie,"PEUGEOT 307 SW, poj. 1997 cm pojazd sprawny",1500.0,2000.0,2025-12-22 22:05:21
15.01.2026,Mikołów,śląskie,"Samochód osobowy Porsche Cayenne Turbo, rocznik 2010, nr rej. SMI10993, nr VIN WP1ZZZ92ZBLA83481",30550.0,61100.0,2025-12-22 22:05:22
15.01.2026,GARAŻE,opolskie,OPEL ASTRA hatchback uszkodzona powłoka lakierniczo-blacharska,3750.0,5000.0,2025-12-22 22:05:23
15.01.2026,Annopole,wielkopolskie,"KIA SPORTAGE, nr rej. PSR3866C, VIN U6YJE55528L003187, rok produkcji 2008, przebieg 261 tys. km",10000.0,20000.0,2025-12-22 22:05:23
16.01.2026,Częstochowa,śląskie,AUDI A3 SPORTBACK nr rej. SC1644Y VIN WAUZZZ8PXCA107071 rok produkcji 2012 - wersja z kierownicą po prawej stronie.,5450.0,10900.0,2025-12-22 22:05:24
16.01.2026,Lębork,pomorskie,"PEUGEOT 308 kombi, 1.6HDI, prod. 2008 rok",3375.0,4500.0,2025-12-22 22:05:25
16.01.2026,Jabłońskie,warmińsko-mazurskie,KIA SPORTAGE ROK 2014 VIN U5YPC81BDEL542746 NR REJ NGO47A7,18750.0,25000.0,2025-12-22 22:05:26
19.01.2026,Częstochowa,śląskie,FORD MONDEO ( udział 1/2) nr rej. SC683CN VIN WF0GXXGBBGBJ73598 rok produkcji 2011,6750.0,9000.0,2025-12-22 22:05:28
19.01.2026,Duszniki,wielkopolskie,AUDI A3,1125.0,1500.0,2025-12-22 22:05:28
20.01.2026,Brudzowice,śląskie,OPEL CORSA-C-VAN nr rej. SBE65193 VIN W0L0XCF0864210748 rok produkcji 2006,300.0,600.0,2025-12-22 22:05:29
20.01.2026,Brudzowice,śląskie,RENAULT KANGOO nr rej. SBE67383 VIN VF1FC07AF29567860 rok produkcji 2003,300.0,600.0,2025-12-22 22:05:29
20.01.2026,Brudzowice,śląskie,AUDI A6 nr rej. SBE72073 VIN WAUZZZ4BZXN131903 rok produkcji 1999,500.0,1000.0,2025-12-22 22:05:29
20.01.2026,Brudzowice,śląskie,ZIPP JN50QT-6C nr rej. SBEHF48 VIN LZRB0F2A2D1312063 rok produkcji 2013,500.0,1000.0,2025-12-22 22:05:29
20.01.2026,Brudzowice,śląskie,ROUTER nr rej. SBEHN63 VIN LJLTCBH7XB3A80500 rok produkcji 2010,250.0,500.0,2025-12-22 22:05:29
20.01.2026,Gorzów Wlkp.,lubuskie,VOLKSWAGEN GOLF,2250.0,4500.0,2025-12-22 22:05:30
20.01.2026,Wolbrom,małopolskie,"Audi A3 r.prod. 2002, nr rej. KMY26703, VIN: WAUZZZ8L02A053601",4125.0,5500.0,2025-12-22 22:05:31
20.01.2026,Gębice,kujawsko-pomorskie,samochód osobowy AUDI A4 r.pr. 2002 PKS49217 uszkodzony układ hamulcowy,2250.0,3000.0,2025-12-22 22:05:32
